SampleID,Treat,pH,Salinity,DOC,Temp,NO3,PO43
EnvHKWinMc4,Bulkseawater,7.41,29.41,8.466,21.869,1.8,1.21
EnvHKWinMc5,Bulkseawater,7.53,29.69,17.86,22.026,1.4,1.15
EnvHKWinMc6,Bulkseawater,7.95,34.33,4.122,16.185,1.3,0.27
EnvHKWinMc7,Bulkseawater,7.91,34.54,3.753,16.158,1.8,0.15
EnvHKWinMc8,Bulkseawater,7.86,34.54,3.813,16.189,1.6,0.27
EnvHKWinMc9,Bulkseawater,7.88,34.54,2.73,16.099,1.4,0.08
EnvHKWinMR1,Bulkseawater,8.01,34.21,2.809,15.652,1.7,0.65
EnvHKWinPort1,Bulkseawater,7.89,26.19,2.792,17.456,1.1,1.65
EnvHKWinPort2,Bulkseawater,7.99,34.07,2.751,18.402,1,0.46
EnvHKWinPort3,Bulkseawater,8.09,33.35,3.046,18.689,1.2,0.41
EnvHKWinPort4,Bulkseawater,8.02,34.42,2.396,18.569,1,0.69
EnvHKWinPort5,Bulkseawater,7.99,35.34,4.131,18.16,1.2,0.31
EnvHKWinWWTP1,Bulkseawater,7.84,35.03,3.843,17.881,0.9,0.47
EnvHKWinWWTP2,Bulkseawater,7.84,34.58,3.611,17.894,0.8,0.58
EnvHKWinWWTP3,Bulkseawater,7.83,34.08,4.325,18.35,1.6,0.36
EnvHKWinWWTP4,Bulkseawater,7.8,33.95,4.191,18.113,1.5,0.52
EnvQDSumBeach1,Bulkseawater,8.3,24.5,1.3821,27.5,0.171,0.189
EnvQDSumBeach2,Bulkseawater,8.2,24,1.066,27.7,0.035,0.318
EnvQDSumBeach4,Bulkseawater,8.2,24.4,2.1802,27.8,0.039,0.19
EnvQDSumBeach5,Bulkseawater,8.3,23.9,1.1783,28,0.085,0.239
EnvQDSumEs1,Bulkseawater,8.6,19.6,3.0857,30.8,0.498,0.134
EnvQDSumEs2,Bulkseawater,8.7,18.2,3.1053,30.8,0.619,0.142
EnvQDSumEs3,Bulkseawater,8.9,20.6,1.564,30.3,0.34,0.222
EnvQDSumMc1,Bulkseawater,8.2,23.2,1.8028,30.7,0.099,0.211
EnvQDSumMc2,Bulkseawater,8.2,23.1,1.7373,31.3,0.104,0.308
EnvQDSumMc4,Bulkseawater,8.2,23.6,1.5619,31.1,0.081,0.293
EnvQDSumMc5,Bulkseawater,8.2,23.4,1.685,31.6,0.086,0.2
EnvQDSumMR1,Bulkseawater,8.3,24.6,2.2215,28.7,0.009,0.245
EnvQDSumMR2,Bulkseawater,8.3,24.4,1.3169,28.2,0.009,0.267
EnvQDSumMR3,Bulkseawater,8.3,24.7,0.6398,28,0.009,0.332
EnvQDSumPort1,Bulkseawater,8.1,23.5,0.6984,27.8,0.02,0.209
EnvQDSumPort2,Bulkseawater,8.1,24.1,1.5084,29.5,0.075,0.218
EnvQDSumPort3,Bulkseawater,8.2,24.3,1.6302,28.2,0.201,0.151
EnvQDSumPort4,Bulkseawater,8.2,24.2,0.5761,28.9,0.069,0.272
EnvQDSumPort5,Bulkseawater,8.3,24.3,0.08,27.8,0.005,0.32
EnvQDSumWWTP1,Bulkseawater,7.9,24.3,2.1985,30.8,0.272,0.166
EnvQDSumWWTP2,Bulkseawater,8.2,24.3,0.9544,28.5,0.183,0.223
EnvQDSumWWTP3,Bulkseawater,8.2,24.6,1.0662,28.4,0.143,0.262
EnvQDSumWWTP4,Bulkseawater,8.1,24.8,1.0851,28.1,0.076,0.21
EnvQDSumWWTP5,Bulkseawater,8.2,24.8,1.0615,28,0.051,0.273
EnvQDWinBeach1,Bulkseawater,8.5,27.8,6.11,6.2,0.008,0.108
EnvQDWinBeach2,Bulkseawater,8.49,27.7,6.155,7,0.008,0.128
EnvQDWinBeach3,Bulkseawater,8.52,27.7,5.297,6.6,0.228,0.12
EnvQDWinBeach4,Bulkseawater,8.51,27.7,5.67,7,0.016,0.082
EnvQDWinBeach5,Bulkseawater,8.5,27.8,5.807,6.1,0.011,0.003
EnvQDWinEs1,Bulkseawater,8.08,11.2,19.015,7.2,2.701,0.098
EnvQDWinEs2,Bulkseawater,8.1,8.44,19.468,7.5,5.555,0.166
EnvQDWinEs3,Bulkseawater,8.37,13.7,20.168,7.2,5.08,0.116
EnvQDWinEs4,Bulkseawater,8.42,8.72,19.153,7.4,8.502,0.14
EnvQDWinEs5,Bulkseawater,8.38,8.66,18.007,7.6,3.181,0.099
EnvQDWinMc1,Bulkseawater,8.49,27.3,6.836,4.5,0.045,0.152
EnvQDWinMc2,Bulkseawater,8.5,28.1,6.532,4.6,0.025,0.12
EnvQDWinMc3,Bulkseawater,8.52,27.8,6.154,5.1,0.042,0.117
EnvQDWinMc4,Bulkseawater,8.5,27.5,4.525,5,0.027,0.098
EnvQDWinMc5,Bulkseawater,8.52,26.9,6.406,6.8,0.075,0.106
EnvQDWinMR1,Bulkseawater,8.5,27,4.551,6.2,0.017,0.001
EnvQDWinMR2,Bulkseawater,8.52,26.8,5.511,5.5,0.007,0.002
EnvQDWinMR3,Bulkseawater,8.49,27.6,5.877,6.3,0.001,0.001
EnvQDWinMR4,Bulkseawater,8.53,27.2,5.215,5.6,0.008,0.003
EnvQDWinMR5,Bulkseawater,8.49,26.9,5.876,6.1,0.01,0.001
EnvQDWinPort1,Bulkseawater,8.46,26.9,7.147,6.1,0.008,0.001
EnvQDWinPort2,Bulkseawater,8.45,27.3,7.658,5.9,0.018,0.001
EnvQDWinPort3,Bulkseawater,8.44,27.6,11.553,5.7,0.036,0.001
EnvQDWinPort4,Bulkseawater,8.49,27.7,3.473,6.3,0.066,0.001
EnvQDWinPort5,Bulkseawater,8.46,27.2,3.855,5.7,0.121,0.001
EnvQDWinWWTP1,Bulkseawater,8.42,27,8.437,5.7,0.251,0.079
EnvQDWinWWTP2,Bulkseawater,8.44,26.7,7.571,6.3,0.285,0.093
EnvQDWinWWTP3,Bulkseawater,8.44,26.7,8.144,6,0.357,0.074
EnvQDWinWWTP4,Bulkseawater,8.44,26.7,7.348,6.7,0.327,0.081
EnvQDWinWWTP5,Bulkseawater,8.42,26.7,7.878,6.2,0.245,0.117
