SampleID,Harm_toxic,Temp,pH,Salinity,DO,DOC,NO3,PO4,EC,Carrier,Harm,Toxic
EnvHKWinMc2,1877,22.278,7.6,29.43,3.85,9.211,1.3,1.59,43.0398,Seawater,1836,41
EnvHKWinMc3,2040,22.345,7.56,29.44,3.14,7.804,1.3,1.54,43.1028,Seawater,1999,41
EnvHKWinMc4,1972,21.869,7.41,29.41,3.03,8.466,1.8,1.21,42.6469,Seawater,1920,52
EnvHKWinMc5,2603,22.026,7.53,29.69,3.91,17.86,1.4,1.15,43.1533,Seawater,2522,81
EnvHKWinMc6,2352,16.185,7.95,34.33,8.25,4.122,1.3,0.27,43.3311,Seawater,937,1415
EnvHKWinMc7,1798,16.158,7.91,34.54,8.14,3.753,1.8,0.15,43.5377,Seawater,1159,639
EnvHKWinMc8,2512,16.189,7.86,34.54,7.7,3.813,1.6,0.27,43.569,Seawater,840,1672
EnvHKWinMc9,3131,16.099,7.88,34.54,7.8,2.73,1.4,0.08,43.481,Seawater,649,2482
EnvHKWinMR1,2200,15.652,8.01,34.21,8.01,2.809,1.7,0.65,42.6773,Seawater,771,1429
EnvHKWinPort1,417,17.456,7.89,26.19,7.05,2.792,1.1,1.65,34.957,Seawater,216,201
EnvHKWinPort2,3652,18.402,7.99,34.07,8.17,2.751,1,0.46,45.2039,Seawater,829,2823
EnvHKWinPort3,388,18.689,8.09,33.35,8.46,3.046,1.2,0.41,44.6268,Seawater,224,164
EnvHKWinPort4,2154,18.569,8.02,34.42,8.23,2.396,1,0.69,45.782,Seawater,1027,1127
EnvHKWinPort5,1578,18.16,7.99,35.34,6.59,4.131,1.2,0.31,46.4495,Seawater,1269,309
EnvHKWinWWTP1,1348,17.881,7.84,35.03,6.74,3.843,0.9,0.47,45.8045,Seawater,1106,242
EnvHKWinWWTP2,1648,17.894,7.84,34.58,6.69,3.611,0.8,0.58,45.2976,Seawater,1388,260
EnvHKWinWWTP3,1500,18.35,7.83,34.08,6.77,4.325,1.6,0.36,45.1576,Seawater,1224,276
EnvHKWinWWTP4,1799,18.113,7.8,33.95,6.85,4.191,1.5,0.52,44.775,Seawater,1569,230
EnvQDSumBeach1,2160,27.5,8.3,24.5,7.36,1.3821,0.171,0.189,49.4,Seawater,2079,81
EnvQDSumBeach2,2259,27.7,8.2,24,7.29,1.066,0.035,0.318,49.4,Seawater,2157,102
EnvQDSumBeach4,2295,27.8,8.2,24.4,7.03,2.1802,0.039,0.19,49.2,Seawater,2186,109
EnvQDSumBeach5,2351,28,8.3,23.9,7.2,1.1783,0.085,0.239,49.2,Seawater,2264,87
EnvQDSumEs1,3379,30.8,8.6,19.6,20.18,3.0857,0.498,0.134,39.9,Seawater,2617,762
EnvQDSumEs2,2969,30.8,8.7,18.2,20.18,3.1053,0.619,0.142,39.7,Seawater,2276,693
EnvQDSumEs3,2854,30.3,8.9,20.6,19.24,1.564,0.34,0.222,41.1,Seawater,2219,635
EnvQDSumMc1,3774,30.7,8.2,23.2,9.07,1.8028,0.099,0.211,46.7,Seawater,2556,1218
EnvQDSumMc2,3215,31.3,8.2,23.1,8.94,1.7373,0.104,0.308,46.5,Seawater,2636,579
EnvQDSumMc4,4125,31.1,8.2,23.6,10.99,1.5619,0.081,0.293,46.9,Seawater,4074,51
EnvQDSumMc5,4099,31.6,8.2,23.4,10.34,1.685,0.086,0.2,47.5,Seawater,4022,77
EnvQDSumMR1,4108,28.7,8.3,24.6,8.92,2.2215,0.009,0.245,49.4,Seawater,4085,23
EnvQDSumMR2,3243,28.2,8.3,24.4,8.93,1.3169,0.009,0.267,49.3,Seawater,3164,79
EnvQDSumMR3,3591,28,8.3,24.7,9.06,0.6398,0.009,0.332,49.5,Seawater,3539,52
EnvQDSumPort1,2754,27.8,8.1,23.5,7.67,0.6984,0.02,0.209,48.9,Seawater,2699,55
EnvQDSumPort2,2823,29.5,8.1,24.1,7.64,1.5084,0.075,0.218,48.9,Seawater,2719,104
EnvQDSumPort3,3647,28.2,8.2,24.3,8.02,1.6302,0.201,0.151,49.1,Seawater,3539,108
EnvQDSumPort4,2367,28.9,8.2,24.2,8.03,0.5761,0.069,0.272,48.7,Seawater,2159,208
EnvQDSumPort5,2643,27.8,8.3,24.3,8.27,0.08,0.005,0.32,49.2,Seawater,2508,135
EnvQDSumWWTP1,3493,30.8,7.9,24.3,7.44,2.1985,0.272,0.166,48.1,Seawater,3122,371
EnvQDSumWWTP2,3879,28.5,8.2,24.3,8.19,0.9544,0.183,0.223,48.2,Seawater,3327,552
EnvQDSumWWTP3,3717,28.4,8.2,24.6,8.38,1.0662,0.143,0.262,48.1,Seawater,2997,720
EnvQDSumWWTP4,2670,28.1,8.1,24.8,7.48,1.0851,0.076,0.21,49,Seawater,2454,216
EnvQDSumWWTP5,3548,28,8.2,24.8,7.56,1.0615,0.051,0.273,49.1,Seawater,3446,102
EnvQDWinBeach1,852,6.2,8.5,27.8,12.3,6.11,0.008,0.108,44.8,Seawater,690,162
EnvQDWinBeach2,832,7,8.49,27.7,12.26,6.155,0.008,0.128,44.7,Seawater,679,153
EnvQDWinBeach3,1090,6.6,8.52,27.7,12.64,5.297,0.228,0.12,44.8,Seawater,896,194
EnvQDWinBeach4,918,7,8.51,27.7,12.14,5.67,0.016,0.082,44.6,Seawater,786,132
EnvQDWinBeach5,1327,6.1,8.5,27.8,12.43,5.807,0.011,0.003,44.8,Seawater,1096,231
EnvQDWinEs1,1837,7.2,8.08,11.2,12.6,19.015,2.701,0.098,17.83,Seawater,1783,54
EnvQDWinEs2,1142,7.5,8.1,8.44,13.19,19.468,5.555,0.166,14.32,Seawater,923,219
EnvQDWinEs3,742,7.2,8.37,13.7,13.23,20.168,5.08,0.116,20.2,Seawater,626,116
EnvQDWinEs4,313,7.4,8.42,8.72,14.99,19.153,8.502,0.14,15.94,Seawater,251,62
EnvQDWinEs5,1091,7.6,8.38,8.66,15.36,18.007,3.181,0.099,14.22,Seawater,1000,91
EnvQDWinMc1,467,4.5,8.49,27.3,12.38,6.836,0.045,0.152,44.3,Seawater,426,41
EnvQDWinMc2,481,4.6,8.5,28.1,12.65,6.532,0.025,0.12,44.6,Seawater,448,33
EnvQDWinMc3,270,5.1,8.52,27.8,12.85,6.154,0.042,0.117,44.2,Seawater,253,17
EnvQDWinMc4,757,5,8.5,27.5,12.56,4.525,0.027,0.098,44,Seawater,681,76
EnvQDWinMc5,498,6.8,8.52,26.9,12.75,6.406,0.075,0.106,44.8,Seawater,451,47
EnvQDWinMR1,1758,6.2,8.5,27,12.48,4.551,0.017,0.001,45,Seawater,1102,656
EnvQDWinMR2,1730,5.5,8.52,26.8,12.65,5.511,0.007,0.002,45.3,Seawater,1193,537
EnvQDWinMR3,1857,6.3,8.49,27.6,12.53,5.877,0.001,0.001,44.9,Seawater,1369,488
EnvQDWinMR4,2236,5.6,8.53,27.2,12.77,5.215,0.008,0.003,45.2,Seawater,1636,600
EnvQDWinMR5,1965,6.1,8.49,26.9,12.56,5.876,0.01,0.001,45,Seawater,1451,514
EnvQDWinPort1,1290,6.1,8.46,26.9,13.19,7.147,0.008,0.001,44.1,Seawater,1119,171
EnvQDWinPort2,1553,5.9,8.45,27.3,12.77,7.658,0.018,0.001,44.7,Seawater,1319,234
EnvQDWinPort3,1378,5.7,8.44,27.6,12.76,11.553,0.036,0.001,44.8,Seawater,1155,223
EnvQDWinPort4,1199,6.3,8.49,27.7,12.62,3.473,0.066,0.001,44.6,Seawater,1023,176
EnvQDWinPort5,1302,5.7,8.46,27.2,12.53,3.855,0.121,0.001,44.6,Seawater,1096,206
EnvQDWinWWTP1,429,5.7,8.42,27,12.39,8.437,0.251,0.079,43.5,Seawater,389,40
EnvQDWinWWTP2,392,6.3,8.44,26.7,12.58,7.571,0.285,0.093,43.3,Seawater,353,39
EnvQDWinWWTP3,507,6,8.44,26.7,12.71,8.144,0.357,0.074,43.2,Seawater,462,45
EnvQDWinWWTP4,459,6.7,8.44,26.7,12.57,7.348,0.327,0.081,43.3,Seawater,418,41
EnvQDWinWWTP5,505,6.2,8.42,26.7,12.55,7.878,0.245,0.117,43.7,Seawater,480,25
PlaHKSumMc1,1332,27.8,8.3,32,9.58,3.274,2,0.44,49.99,Plastisphere,1174,158
PlaHKSumMR1,2345,30.1,8.2,32,7.48,7.297,2.4,0.21,50.5,Plastisphere,2202,143
PlaHKSumMR2,2406,30.2,8.11,33,7.43,5.681,2.9,0.21,50.5,Plastisphere,2316,90
PlaHKSumMR3,1546,30.2,8.16,29,7.39,19.6,2,0.24,50.5,Plastisphere,1415,131
PlaHKSumMR4,2576,30.3,8.16,29,7.45,13.48,1.1,0.28,50.5,Plastisphere,2493,83
PlaHKSumPort1,4168,31.4,8.01,23,7.15,12.97,1.7,0.15,43.96,Plastisphere,4051,117
PlaHKSumWWTP2,2560,30.8,7.44,27,5.7,3.829,2.6,0.22,48.49,Plastisphere,2259,301
PlaHKWinBeach1,2275,18.967,7.81,35.63,6.95,5.138,3.3,0.19,47.6192,Plastisphere,2097,178
PlaHKWinBeach2,1749,18.966,7.8,35.66,7.26,5.128,2.3,0.37,47.6565,Plastisphere,1626,123
PlaHKWinBeach3,1820,18.985,7.81,35.68,7.31,5.294,1.5,0.3,47.6948,Plastisphere,1659,161
PlaHKWinEs1,1936,20.071,7.95,34.95,7.19,7.056,1,0.36,47.9285,Plastisphere,1720,216
PlaHKWinEs2,1712,20.047,7.91,34.98,7.06,7.015,1.5,0.28,47.9424,Plastisphere,1441,271
PlaHKWinEs4,1904,20.02,7.89,34.89,7.02,3.996,0.5,0.05,47.9062,Plastisphere,1504,400
PlaHKWinEs5,2104,19.92,7.9,35.27,6.65,4.555,1.2,0.04,48.1593,Plastisphere,1737,367
PlaHKWinMc1,1520,15.652,8.01,34.21,8.01,2.809,1.7,0.65,42.6773,Plastisphere,1395,125
PlaHKWinMc10,1460,22.134,7.59,29.54,2.96,7.467,1.6,1.71,43.045,Plastisphere,1280,180
PlaHKWinMc11,2570,16.164,7.9,34.54,8.11,2.81,1.8,0.18,43.5446,Plastisphere,2451,119
PlaHKWinMc12,2186,17.81,7.99,35.44,7.86,2.647,1.7,0.53,46.2154,Plastisphere,2017,169
PlaHKWinMc13,1558,17.93,7.97,35.48,7.84,2.653,1.8,0.57,46.3852,Plastisphere,1402,156
PlaHKWinMc15,1539,17.998,8.01,35.47,7.89,2.656,1,0.35,46.4446,Plastisphere,1399,140
PlaHKWinMc2,2236,17.982,8,35.43,7.78,2.727,1,0.33,46.3826,Plastisphere,2167,69
PlaHKWinMc3,2359,22.278,7.6,29.43,3.85,9.211,1.3,1.59,43.0398,Plastisphere,2301,58
PlaHKWinMc4,1253,22.345,7.56,29.44,3.14,7.804,1.3,1.54,43.1028,Plastisphere,1055,198
PlaHKWinMc5,1976,21.869,7.41,29.41,3.03,8.466,1.8,1.21,42.6469,Plastisphere,1615,361
PlaHKWinMc6,1445,22.026,7.53,29.69,3.91,17.86,1.4,1.15,43.1533,Plastisphere,1214,231
PlaHKWinMc7,1781,16.185,7.95,34.33,8.25,4.122,1.3,0.27,43.3311,Plastisphere,1487,294
PlaHKWinMc8,1803,16.158,7.91,34.54,8.14,3.753,1.8,0.15,43.5377,Plastisphere,1544,259
PlaHKWinMc9,1145,16.189,7.86,34.54,7.7,3.813,1.6,0.27,43.569,Plastisphere,909,236
PlaHKWinMR1,3315,16.099,7.88,34.54,7.8,2.73,1.4,0.08,43.481,Plastisphere,3257,58
PlaHKWinPort1,1917,17.456,7.89,26.19,7.05,2.792,1.1,1.65,34.957,Plastisphere,1401,516
PlaHKWinPort2,2242,18.402,7.99,34.07,8.17,2.751,1,0.46,45.2039,Plastisphere,1497,745
PlaHKWinPort3,2533,18.689,8.09,33.35,8.46,3.046,1.2,0.41,44.6268,Plastisphere,1396,1137
PlaHKWinPort4,2275,18.569,8.02,34.42,8.23,2.396,1,0.69,45.782,Plastisphere,1769,506
PlaHKWinPort5,2233,18.16,7.99,35.34,6.59,4.131,1.2,0.31,46.4495,Plastisphere,1231,1002
PlaHKWinWWTP1,1753,17.881,7.84,35.03,6.74,3.843,0.9,0.47,45.8045,Plastisphere,1513,240
PlaHKWinWWTP2,2392,17.894,7.84,34.58,6.69,3.611,0.8,0.58,45.2976,Plastisphere,1911,481
PlaHKWinWWTP3,1984,18.35,7.83,34.08,6.77,4.325,1.6,0.36,45.1576,Plastisphere,1664,320
PlaHKWinWWTP4,2121,18.113,7.8,33.95,6.85,4.191,1.5,0.52,44.775,Plastisphere,1864,257
PlaQDSumBeach1,267,27.5,8.3,24.5,7.36,1.3821,0.171,0.189,49.4,Plastisphere,223,44
PlaQDSumBeach2,2143,27.7,8.2,24,7.29,1.066,0.035,0.318,49.4,Plastisphere,2099,44
PlaQDSumBeach4,1313,27.8,8.2,24.4,7.03,2.1802,0.039,0.19,49.2,Plastisphere,1131,182
PlaQDSumBeach5,1057,28,8.3,23.9,7.2,1.1783,0.085,0.239,49.2,Plastisphere,875,182
PlaQDSumEs1,1782,30.8,8.6,19.6,20.18,3.0857,0.498,0.134,39.9,Plastisphere,1512,270
PlaQDSumEs2,1455,30.8,8.7,18.2,20.18,3.1053,0.619,0.142,39.7,Plastisphere,1338,117
PlaQDSumEs3,929,30.3,8.9,20.6,19.24,1.564,0.34,0.222,41.1,Plastisphere,867,62
PlaQDSumMc1,254,30.7,8.2,23.2,9.07,1.8028,0.099,0.211,46.7,Plastisphere,231,23
PlaQDSumMc2,2435,31.3,8.2,23.1,8.94,1.7373,0.104,0.308,46.5,Plastisphere,2355,80
PlaQDSumMc4,1453,31.6,8.2,23.4,9.21,1.79,0.094,0.273,46.4,Plastisphere,1372,81
PlaQDSumMc5,1842,28.7,8.3,24.6,8.92,2.2215,0.009,0.245,49.4,Plastisphere,1801,41
PlaQDSumMR1,1258,28.2,8.3,24.4,8.93,1.3169,0.009,0.267,49.3,Plastisphere,1005,253
PlaQDSumMR2,194,28.3,8.4,25.1,9.33,0.8786,0.01,0.238,49.7,Plastisphere,174,20
PlaQDSumMR3,1580,28,8.4,25.1,9.24,0.9713,0.01,0.332,49.6,Plastisphere,1288,292
PlaQDSumPort1,184,27.8,8.1,23.5,7.67,0.6984,0.02,0.209,48.9,Plastisphere,146,38
PlaQDSumPort2,1340,29.5,8.1,24.1,7.64,1.5084,0.075,0.218,48.9,Plastisphere,1150,190
PlaQDSumPort3,1265,28.2,8.2,24.3,8.02,1.6302,0.201,0.151,49.1,Plastisphere,1053,212
PlaQDSumPort4,2460,28.9,8.2,24.2,8.03,0.5761,0.069,0.272,48.7,Plastisphere,2374,86
PlaQDSumPort5,345,27.8,8.3,24.3,8.27,0.08,0.005,0.32,49.2,Plastisphere,329,16
PlaQDSumWWTP1,1523,30.8,7.9,24.3,7.44,2.1985,0.272,0.166,48.1,Plastisphere,1388,135
PlaQDSumWWTP2,920,28.5,8.2,24.3,8.19,0.9544,0.183,0.223,48.2,Plastisphere,904,16
PlaQDSumWWTP3,1678,28.4,8.2,24.6,8.38,1.0662,0.143,0.262,48.1,Plastisphere,1526,152
PlaQDSumWWTP4,1435,28.1,8.1,24.8,7.48,1.0851,0.076,0.21,49,Plastisphere,1413,22
PlaQDSumWWTP5,1129,28,8.2,24.8,7.56,1.0615,0.051,0.273,49.1,Plastisphere,991,138
PlaQDWinBeach1,223,6.2,8.5,27.8,12.3,6.11,0.008,0.108,44.8,Plastisphere,189,34
PlaQDWinBeach2,165,7,8.49,27.7,12.26,6.155,0.008,0.128,44.7,Plastisphere,153,12
PlaQDWinBeach3,313,6.6,8.52,27.7,12.64,5.297,0.228,0.12,44.8,Plastisphere,268,45
PlaQDWinBeach4,153,7,8.51,27.7,12.14,5.67,0.016,0.082,44.6,Plastisphere,142,11
PlaQDWinBeach5,313,6.1,8.5,27.8,12.43,5.807,0.011,0.003,44.8,Plastisphere,299,14
PlaQDWinEs1,290,7.2,8.08,11.2,12.6,19.015,2.701,0.098,17.83,Plastisphere,270,20
PlaQDWinEs2,594,7.5,8.1,8.44,13.19,19.468,5.555,0.166,14.32,Plastisphere,547,47
PlaQDWinEs3,392,7.2,8.37,13.7,13.23,20.168,5.08,0.116,20.2,Plastisphere,377,15
PlaQDWinEs4,496,7.4,8.42,8.72,14.99,19.153,8.502,0.14,15.94,Plastisphere,480,16
PlaQDWinEs5,371,7.6,8.38,8.66,15.36,18.007,3.181,0.099,14.22,Plastisphere,351,20
PlaQDWinMc1,434,4.5,8.49,27.3,12.38,6.836,0.045,0.152,44.3,Plastisphere,414,20
PlaQDWinMc2,1020,4.6,8.5,28.1,12.65,6.532,0.025,0.12,44.6,Plastisphere,911,109
PlaQDWinMc3,175,5.1,8.52,27.8,12.85,6.154,0.042,0.117,44.2,Plastisphere,150,25
PlaQDWinMc4,547,5,8.5,27.5,12.56,4.525,0.027,0.098,44,Plastisphere,446,101
PlaQDWinMc5,324,6.8,8.52,26.9,12.75,6.406,0.075,0.106,44.8,Plastisphere,244,80
PlaQDWinMR1,1666,6.2,8.5,27,12.48,4.551,0.017,0.001,45,Plastisphere,1471,195
PlaQDWinMR2,649,5.5,8.52,26.8,12.65,5.511,0.007,0.002,45.3,Plastisphere,612,37
PlaQDWinMR3,343,6.3,8.49,27.6,12.53,5.877,0.001,0.001,44.9,Plastisphere,304,39
PlaQDWinMR4,811,5.6,8.53,27.2,12.77,5.215,0.008,0.003,45.2,Plastisphere,781,30
PlaQDWinMR5,3188,6.1,8.49,26.9,12.56,5.876,0.01,0.001,45,Plastisphere,3047,141
PlaQDWinPort1,591,6.1,8.46,26.9,13.19,7.147,0.008,0.001,44.1,Plastisphere,540,51
PlaQDWinPort2,490,5.9,8.45,27.3,12.77,7.658,0.018,0.001,44.7,Plastisphere,437,53
PlaQDWinPort3,1017,5.7,8.44,27.6,12.76,11.553,0.036,0.001,44.8,Plastisphere,977,40
PlaQDWinPort4,1068,6.3,8.49,27.7,12.62,3.473,0.066,0.001,44.6,Plastisphere,1003,65
PlaQDWinPort5,1069,5.7,8.46,27.2,12.53,3.855,0.121,0.001,44.6,Plastisphere,1026,43
PlaQDWinWWTP1,783,5.7,8.42,27,12.39,8.437,0.251,0.079,43.5,Plastisphere,652,131
PlaQDWinWWTP2,715,6.3,8.44,26.7,12.58,7.571,0.285,0.093,43.3,Plastisphere,663,52
PlaQDWinWWTP3,892,6,8.44,26.7,12.71,8.144,0.357,0.074,43.2,Plastisphere,814,78
PlaQDWinWWTP4,361,6.7,8.44,26.7,12.57,7.348,0.327,0.081,43.3,Plastisphere,327,34
PlaQDWinWWTP5,65,6.2,8.42,26.7,12.55,7.878,0.245,0.117,43.7,Plastisphere,61,4
